Year,Month,Arrived_Quantity,Export_Quantity,MEP,Price,Rainfall
2008,January,3534576,"7,486,273",,282.15,0
2008,February,3336995,"8,743,577",,265.15,0
2008,March,2247613,"10,086,903",,292.71,27.6
2008,April,2266895,0,,268.09,4.7
2008,May,3103510,0,,230.92,9
2008,June,2167222,0,,354.16,97.8
2008,July,1895207,"5,746,214.10",,575.64,133.3
2008,August,1482791,"7,142,169.37",,730.47,223.9
2008,September,1274002,"8,540,104.06",,589.18,300.6
2008,October,1485183,"9,772,965.97",,593.73,55.2
2008,November,1357865,"10,690,664.67",,897.46,5.1
2008,December,2707873,"11,629,687.45",,990.29,1.6
2009,January,3240540,"12,613,275.10",,"1,129.20",0.1
2009,February,3150383,"13,887,716.12",,979.85,0
2009,March,3735979,"16,701,863.67",,654.69,0.8
2009,April,3152837,"2,038,593.09",,452.46,0.2
2009,May,2639329,"3,658,348.06",,455.23,11.3
2009,June,2042974,"5,050,663.44",,621.62,66
2009,July,2396511,"7,133,498.97",,593.48,304.2
2009,August,2415232,"8,600,923.27",,622.5,146.3
2009,September,2531136,"9,985,136.12",,622.46,167.1
2009,October,2690719,"11,116,215.22",,"1,270.57",96.2
2009,November,2409251,"12,313,615.39",,"1,412.74",121.1
2009,December,3384297,"13,079,630.70",,"1,337.74",4.8
2010,January,3474117,"14,076,694.35",50,"1,184.39",2.9
2010,February,3518756,"15,121,894.68",55,930.22,0.5
2010,March,3218334,"16,738,766.60",40,585.93,2.8
2010,April,3008837,"1,657,316",41.5,489.54,4.4
2010,May,2491231,"3,061,050.47",17,506.5,4.3
2010,June,2173392,"4,499,997.71",20,586.93,184.3
2010,July,2737909,"5,960,384.47",23,623.33,263.7
2010,August,2500070,"7,316,866.11",22,796.27,229.1
2010,September,2150868,"8,322,385.67",27.5,"1,221.81",161.8
2010,October,2173640,"9,228,500.11",37.5,"1,333.23",75.9
2010,November,1859261,"9,877,271.06",52.5,"1,735.65",75.8
2010,December,1821727,"10,136,712.59",,"2,391.43",0.8
2011,January,2113055,"10,137,444.96",,"2,418",0
2011,February,3027816,"10,460,054.23",45,854.58,1.5
2011,March,3124676,"11,670,642.06",35,456.54,0.6
2011,April,1837869,"948,194.43",60,490.88,8.7
2011,May,2009853,"2,544,030.35",35,503.62,12.3
2011,June,1714112,"3,728,904.61",35,672.92,130.1
2011,July,1724886,"4,611,268.98",35,781.64,245.3
2011,August,1676664,"5,635,435.83",40,"1,002.72",243
2011,September,1852482,"6,226,328.55",47.5,987.04,142.8
2011,October,1876344,"7,292,421.14",47.5,837.77,58.6
2011,November,2211029,"8,361,820.34",35,775.96,0
2011,December,2926334,"9,456,089.53",35,560.35,0