Year,Origin,Destination,Refugees,Returned,IDPs,Storyline
2006,Sudan,Ethiopia,66980,5937,0,
2006,Afghanistan,United Kingdom,23069,523,0,
2006,Iraq,United Kingdom,21984,103,0,
2006,Somalia,United Kingdom,34138,7,0,
2006,Afghanistan,Iran (Islamic Rep. of),914260,243648,0,
2006,Iraq,Iran (Islamic Rep. of),54024,0,0,
2006,Iraq,Jordan,500000,173,0,
2006,Sudan,Kenya,73004,2186,0,
2006,Somalia,Kenya,173702,2,0,
2006,Myanmar,Malaysia,21544,0,0,
2006,Afghanistan,Netherlands,21357,162,0,
2006,Iraq,Netherlands,21782,0,0,
2006,Afghanistan,Pakistan,1043984,143019,0,
2006,Dem. Rep. of the Congo,Rwanda,46272,0,0,
2006,Iraq,Sweden,23852,0,0,
2006,Iraq,Syrian Arab Rep.,700000,0,0,
2006,Sudan,Chad,233025,8500,0,
2006,Myanmar,Thailand,132241,0,0,
2006,Burundi,United Rep. of Tanzania,352640,42765,0,
2006,Dem. Rep. of the Congo,United Rep. of Tanzania,127973,23735,0,
2006,Dem. Rep. of the Congo,Uganda,28766,8,0,
2006,Rwanda,Uganda,21866,56,0,
2006,Sudan,Uganda,215675,5835,0,
2006,Ethiopia,United States of America,24853,0,0,
2006,Sudan,United States of America,28123,0,0,
2006,Somalia,United States of America,72546,0,0,
2006,Viet Nam,United States of America,45757,0,0,
2006,Somalia,Yemen,91587,551,0,
2006,Dem. Rep. of the Congo,Zambia,60874,4742,0,
2007,Dem. Rep. of the Congo,Burundi,23914,377,0,
2007,Myanmar,Bangladesh,27544,0,0,
2007,Viet Nam,China,300897,0,0,
2007,Rwanda,Dem. Rep. of the Congo,29814,9408,0,
2007,Dem. Rep. of the Congo,Congo,27605,19402,0,
2007,Afghanistan,Germany,24236,46,0,
2007,Iraq,Germany,34731,0,0,
2007,Sudan,Ethiopia,35493,22996,0,
2007,Somalia,Ethiopia,25843,0,0,
2007,Afghanistan,United Kingdom,23565,387,0,
2007,Iraq,United Kingdom,22021,18,0,
2007,Somalia,United Kingdom,33659,1,0,
2007,Afghanistan,Iran (Islamic Rep. of),906071,7462,0,
2007,Iraq,Iran (Islamic Rep. of),57414,238,0,
2007,Iraq,Jordan,500000,0,0,
2007,Sudan,Kenya,45261,19159,0,
2007,Somalia,Kenya,192420,0,0,
2007,Iraq,Kuwait,30131,0,0,
2007,Iraq,Lebanon,50000,132,0,
2007,Myanmar,Malaysia,29474,0,0,
2007,Afghanistan,Pakistan,2034416,365663,0,
2007,Dem. Rep. of the Congo,Rwanda,50731,1933,0,
2007,Iraq,Sweden,30423,0,0,
2007,Iraq,Syrian Arab Rep.,1500000,45000,0,
2007,Sudan,Chad,242555,0,0,
2007,Myanmar,Thailand,124562,0,0,
2007,Burundi,United Rep. of Tanzania,336277,39506,0,
2007,Dem. Rep. of the Congo,United Rep. of Tanzania,97099,28370,0,
2007,Dem. Rep. of the Congo,Uganda,41782,158,0,
2007,Sudan,Uganda,162063,76575,0,
2007,Somalia,Yemen,110616,346,0,
2007,Dem. Rep. of the Congo,Zambia,55434,7826,0,
2008,Dem. Rep. of the Congo,Burundi,20757,2,0,
2008,Myanmar,Bangladesh,28337,0,0,
2008,Viet Nam,China,300897,0,0,
2008,Rwanda,Dem. Rep. of the Congo,22643,8074,0,
2008,Afghanistan,Germany,25108,32,0,
2008,Iraq,Germany,38854,0,0,
2008,Sudan,Ethiopia,25913,10368,0,
2008,Somalia,Ethiopia,33625,0,0,
2008,Afghanistan,United Kingdom,23079,347,0,
2008,Iraq,United Kingdom,21483,0,0,
2008,Somalia,United Kingdom,31665,0,0,
2008,Afghanistan,Iran (Islamic Rep. of),935595,3656,0,
2008,Iraq,Iran (Islamic Rep. of),44444,3490,0,
2008,Iraq,Jordan,500000,1370,0,
2008,Ethiopia,Kenya,22649,1,0,
2008,Sudan,Kenya,28496,9876,0,
2008,Somalia,Kenya,259121,0,0,
2008,Iraq,Kuwait,30193,0,0,
2008,Iraq,Lebanon,50000,114,0,
2008,Myanmar,Malaysia,33781,0,0,
2008,Afghanistan,Pakistan,1780150,274200,0,
2008,Dem. Rep. of the Congo,Rwanda,52409,0,0,
2008,Iraq,Sweden,32120,0,0,
2008,Iraq,Syrian Arab Rep.,1100000,4160,0,
2008,Sudan,Chad,267966,22000,0,
2008,Myanmar,Thailand,111555,0,0,
2008,Burundi,United Rep. of Tanzania,240480,94891,0,
2008,Dem. Rep. of the Congo,United Rep. of Tanzania,79706,15681,0,
2008,Dem. Rep. of the Congo,Uganda,76498,14327,0,
2008,Sudan,Uganda,56883,46858,0,
2008,Somalia,Yemen,132275,144,0,
2008,Dem. Rep. of the Congo,Zambia,47329,9700,0,
2009,Dem. Rep. of the Congo,Burundi,24614,49,0,
2009,Myanmar,Bangladesh,228557,0,0,
2009,Dem. Rep. of the Congo,Central African Rep.,20899,7,0,
2009,Viet Nam,China,300897,0,0,
2009,Rwanda,Dem. Rep. of the Congo,80525,14780,0,
2009,Dem. Rep. of the Congo,Congo,103213,85,0,
2009,Afghanistan,Germany,30320,6,0,
2009,Iraq,Germany,49033,530,0,
2009,Viet Nam,Germany,25215,0,0,
2009,Sudan,Ethiopia,23516,1023,0,
2009,Somalia,Ethiopia,58980,0,0,
2009,Afghanistan,United Kingdom,23658,99,0,
2009,Iraq,United Kingdom,21287,340,0,
2009,Somalia,United Kingdom,32299,0,0,
2009,Afghanistan,Iran (Islamic Rep. of),1022494,6028,0,
2009,Iraq,Iran (Islamic Rep. of),47924,5620,0,
2009,Iraq,Jordan,450000,2470,0,
2009,Sudan,Kenya,20315,665,0,
2009,Somalia,Kenya,310280,0,0,
2009,Iraq,Lebanon,50000,310,0,
2009,Myanmar,Malaysia,61412,0,0,
2009,Afghanistan,Pakistan,1739935,51290,0,
2009,Dem. Rep. of the Congo,Rwanda,53647,0,0,
2009,Iraq,Sweden,31558,1990,0,
2009,Iraq,Syrian Arab Rep.,1050000,18210,0,
2009,Sudan,Chad,262194,966,0,
2009,Myanmar,Thailand,104107,0,0,
2009,Burundi,United Rep. of Tanzania,53823,29115,0,
2009,Dem. Rep. of the Congo,United Rep. of Tanzania,63275,1458,0,
2009,Dem. Rep. of the Congo,Uganda,73175,25616,0,
2009,Sudan,Uganda,20836,29917,0,
2009,Somalia,Yemen,161468,21,0,
2009,Dem. Rep. of the Congo,Zambia,21965,16985,0,
2010,Dem. Rep. of the Congo,Burundi,28957,1101,0,
2010,Myanmar,Bangladesh,229226,0,0,
2010,Viet Nam,China,300897,0,0,
2010,Rwanda,Dem. Rep. of the Congo,69836,10807,0,
2010,Dem. Rep. of the Congo,Congo,124244,4,0,
2010,Afghanistan,Germany,30404,0,0,
2010,Iraq,Germany,50432,0,0,
2010,Viet Nam,Germany,24918,0,0,
2010,Sudan,Ethiopia,25238,47,0,
2010,Somalia,Ethiopia,81247,0,0,
2010,Afghanistan,United Kingdom,23406,0,0,
2010,Somalia,United Kingdom,23893,0,0,
2010,Afghanistan,Iran (Islamic Rep. of),1027577,8487,0,
2010,Iraq,Iran (Islamic Rep. of),45708,1662,0,
2010,Iraq,Jordan,450000,106,0,
2010,Ethiopia,Kenya,21253,0,0,
2010,Sudan,Kenya,20528,64,0,
2010,Somalia,Kenya,351773,6,0,
2010,Myanmar,Malaysia,76120,0,0,
2010,Afghanistan,Pakistan,1899842,109383,0,
2010,Dem. Rep. of the Congo,Rwanda,55027,0,0,
2010,Dem. Rep. of the Congo,Sudan,20980,1,0,
2010,Iraq,Sweden,29013,0,0,
2010,Iraq,Syrian Arab Rep.,1000000,194,0,
2010,Sudan,Chad,278257,4000,0,
2010,Myanmar,Thailand,95718,0,0,
2010,Burundi,United Rep. of Tanzania,47350,1012,0,
2010,Dem. Rep. of the Congo,United Rep. of Tanzania,60186,0,0,
2010,Dem. Rep. of the Congo,Uganda,81804,6177,0,
2010,Somalia,Yemen,179845,16,0,
2011,Dem. Rep. of the Congo,Burundi,35213,486,0,
2011,Myanmar,Bangladesh,229644,0,0,
2011,Viet Nam,China,300897,0,0,
2011,Rwanda,Dem. Rep. of the Congo,61481,8352,0,
2011,Dem. Rep. of the Congo,Congo,131648,763,0,
2011,Afghanistan,Germany,30425,0,0,
2011,Iraq,Germany,48976,905,0,
2011,Viet Nam,Germany,24261,0,0,
2011,Sudan,Ethiopia,45286,268,0,
2011,Somalia,Ethiopia,185466,0,0,
2011,Afghanistan,Iran (Islamic Rep. of),840451,18851,0,
2011,Iraq,Iran (Islamic Rep. of),45937,18015,0,
2011,Iraq,Jordan,450000,4575,0,
2011,Ethiopia,Kenya,21857,0,0,
2011,Somalia,Kenya,517666,70,0,
2011,Myanmar,Malaysia,81146,0,0,
2011,Afghanistan,Pakistan,1701945,52096,0,
2011,Dem. Rep. of the Congo,Rwanda,54955,0,0,
2011,Dem. Rep. of the Congo,South Sudan,22186,0,0,
2011,Sudan,South Sudan,76845,0,0,
2011,Iraq,Sweden,27367,2265,0,
2011,Iraq,Syrian Arab Rep.,750000,28230,0,
2011,Sudan,Chad,298311,30885,0,
2011,Myanmar,Thailand,88148,0,0,
2011,Burundi,United Rep. of Tanzania,67549,339,0,
2011,Dem. Rep. of the Congo,United Rep. of Tanzania,61913,102,0,
2011,Dem. Rep. of the Congo,Uganda,81487,7985,0,
2011,Somalia,Yemen,204685,106,0,
2012,Dem. Rep. of the Congo,Angola,20740,0,0,
2012,Dem. Rep. of the Congo,Burundi,41349,260,0,
2012,Myanmar,Bangladesh,230674,0,0,
2012,Viet Nam,China,300897,0,0,
2012,Rwanda,Dem. Rep. of the Congo,50736,10780,0,
2012,Dem. Rep. of the Congo,Congo,89424,46385,0,
2012,Afghanistan,Germany,31746,0,0,
2012,Iraq,Germany,49829,955,0,
2012,Viet Nam,Germany,23799,0,0,
2012,Sudan,Ethiopia,27175,0,0,
2012,Somalia,Ethiopia,223031,0,0,
2012,Afghanistan,Iran (Islamic Rep. of),824087,15035,0,
2012,Iraq,Iran (Islamic Rep. of),44085,6855,0,
2012,Syrian Arab Rep.,Iraq,63586,0,0,
2012,Iraq,Jordan,63037,2820,0,
2012,Syrian Arab Rep.,Jordan,238798,0,0,
2012,Ethiopia,Kenya,22221,0,0,
2012,Somalia,Kenya,512069,4,0,
2012,Syrian Arab Rep.,Lebanon,126939,0,0,
2012,Myanmar,Malaysia,84671,0,0,
2012,Afghanistan,Pakistan,1637740,83423,0,
2012,Dem. Rep. of the Congo,Rwanda,57857,0,0,
2012,Sudan,South Sudan,176834,0,0,
2012,Iraq,Sweden,24741,2545,0,
2012,Iraq,Syrian Arab Rep.,471418,56930,0,
2012,Sudan,Chad,306960,17657,0,
2012,Myanmar,Thailand,83317,0,0,
2012,Syrian Arab Rep.,Turkey,248466,68573,0,
2012,Burundi,United Rep. of Tanzania,35343,35200,0,
2012,Dem. Rep. of the Congo,United Rep. of Tanzania,63330,65,0,
2012,Dem. Rep. of the Congo,Uganda,127021,21912,0,
2012,Somalia,Yemen,226909,40,0,
2013,Dem. Rep. of the Congo,Angola,21104,1,0,
2013,Dem. Rep. of the Congo,Burundi,45124,285,0,
2013,Myanmar,Bangladesh,231125,5,0,
2013,Viet Nam,China,300896,0,0,
2013,Rwanda,Dem. Rep. of the Congo,43674,7199,0,
2013,Dem. Rep. of the Congo,Congo,31936,62865,0,
2013,Afghanistan,Germany,24203,0,0,
2013,Iraq,Germany,40230,685,0,
2013,Syrian Arab Rep.,Germany,21253,0,0,
2013,Syrian Arab Rep.,Egypt,131659,0,0,
2013,Sudan,Ethiopia,33582,0,0,
2013,Somalia,Ethiopia,240825,4481,0,
2013,Afghanistan,Iran (Islamic Rep. of),814015,8247,0,
2013,Iraq,Iran (Islamic Rep. of),43268,4035,0,
2013,Syrian Arab Rep.,Iraq,212809,0,0,
2013,Iraq,Jordan,55509,1710,0,
2013,Syrian Arab Rep.,Jordan,585304,0,0,
2013,Ethiopia,Kenya,23524,0,0,
2013,Somalia,Kenya,475304,28828,0,
2013,Syrian Arab Rep.,Lebanon,851284,1,0,
2013,Myanmar,Malaysia,92287,0,0,
2013,Afghanistan,Pakistan,1615876,31224,0,
2013,Dem. Rep. of the Congo,Rwanda,72988,0,0,
2013,Sudan,South Sudan,208130,0,0,
2013,Iraq,Sweden,24006,1640,0,
2013,Somalia,Sweden,20613,0,0,
2013,Iraq,Syrian Arab Rep.,146200,45840,0,
2013,Sudan,Chad,352948,16935,0,
2013,Myanmar,Thailand,135476,3000,0,
2013,Syrian Arab Rep.,Turkey,585601,140756,0,
2013,Burundi,United Rep. of Tanzania,35183,505,0,
2013,Dem. Rep. of the Congo,United Rep. of Tanzania,64569,2,0,
2013,Dem. Rep. of the Congo,Uganda,155742,321,0,
2013,Somalia,Yemen,230506,2615,0,
2013,Somalia,South Africa,20818,0,0,
2014,Dem. Rep. of the Congo,Burundi,52631,37,0,
2014,Myanmar,Bangladesh,232462,0,0,
2014,Viet Nam,China,300896,0,0,
2014,Rwanda,Dem. Rep. of the Congo,38028,5645,0,
2014,Dem. Rep. of the Congo,Congo,23376,10068,0,
2014,Afghanistan,Germany,27814,0,0,
2014,Iraq,Germany,41167,324,0,
2014,Syrian Arab Rep.,Germany,40994,0,0,
2014,Syrian Arab Rep.,Egypt,138381,0,0,
2014,Sudan,Ethiopia,35447,0,0,
2014,Somalia,Ethiopia,245097,0,0,
2014,Afghanistan,Iran (Islamic Rep. of),950000,4512,0,
2014,Iraq,Iran (Islamic Rep. of),32000,281,0,
2014,Syrian Arab Rep.,Iraq,234196,0,0,
2014,Iraq,Jordan,29263,750,0,
2014,Syrian Arab Rep.,Jordan,623112,0,0,
2014,Ethiopia,Kenya,21250,0,0,
2014,Somalia,Kenya,424691,486,0,
2014,Syrian Arab Rep.,Lebanon,1147494,0,0,
2014,Myanmar,Malaysia,93866,0,0,
2014,Afghanistan,Pakistan,1504912,12991,0,
2014,Dem. Rep. of the Congo,Rwanda,73400,0,0,
2014,Sudan,South Sudan,225727,0,0,
2014,Iraq,Sweden,24184,0,0,
2014,Somalia,Sweden,21189,0,0,
2014,Syrian Arab Rep.,Sweden,34285,0,0,
2014,Iraq,Syrian Arab Rep.,146200,1962,0,
2014,Sudan,Chad,357711,13105,0,
2014,Myanmar,Thailand,128863,0,0,
2014,Syrian Arab Rep.,Turkey,1557899,0,0,
2014,Burundi,United Rep. of Tanzania,34313,38,0,
2014,Dem. Rep. of the Congo,United Rep. of Tanzania,53881,5,0,
2014,Dem. Rep. of the Congo,Uganda,178217,5541,0,
2014,Somalia,Yemen,244204,1987,0,
2014,Dem. Rep. of the Congo,South Africa,30125,0,0,
2014,Somalia,South Africa,40133,0,0,
2015,Dem. Rep. of the Congo,Burundi,53029,35,0,
2015,Myanmar,Bangladesh,231948,0,0,
2015,Viet Nam,China,300896,0,0,
2015,Burundi,Dem. Rep. of the Congo,23163,6,0,
2015,Rwanda,Dem. Rep. of the Congo,245052,5024,0,
2015,Afghanistan,Germany,30026,0,0,
2015,Iraq,Germany,51396,175,0,
2015,Syrian Arab Rep.,Germany,115604,0,0,
2015,Syrian Arab Rep.,Egypt,117635,0,0,
2015,Sudan,Ethiopia,37785,0,0,
2015,Somalia,Ethiopia,256669,0,0,
2015,Afghanistan,Iran (Islamic Rep. of),951142,2881,0,
2015,Iraq,Iran (Islamic Rep. of),28268,1271,0,
2015,Syrian Arab Rep.,Iraq,244642,188,0,
2015,Iraq,Jordan,33256,286,0,
2015,Syrian Arab Rep.,Jordan,628223,0,0,
2015,Ethiopia,Kenya,21229,0,0,
2015,Somalia,Kenya,417920,5679,0,
2015,Syrian Arab Rep.,Lebanon,1062690,0,0,
2015,Myanmar,Malaysia,88637,0,0,
2015,Afghanistan,Pakistan,1560592,58211,0,
2015,Burundi,Rwanda,70848,0,0,
2015,Dem. Rep. of the Congo,Rwanda,73864,11,0,
2015,Sudan,South Sudan,241002,0,0,
2015,Iraq,Sweden,23886,0,0,
2015,Somalia,Sweden,21501,0,0,
2015,Syrian Arab Rep.,Sweden,52707,0,0,
2015,Sudan,Chad,299750,39470,0,
2015,Myanmar,Thailand,106349,0,0,
2015,Iraq,Turkey,24135,0,0,
2015,Syrian Arab Rep.,Turkey,2503549,0,0,
2015,Burundi,United Rep. of Tanzania,155755,5,0,
2015,Dem. Rep. of the Congo,United Rep. of Tanzania,55803,0,0,
2015,Burundi,Uganda,26256,0,0,
2015,Dem. Rep. of the Congo,Uganda,201782,5616,0,
2015,Somalia,Uganda,27720,0,0,
2015,Somalia,Yemen,253215,26631,0,
2015,Dem. Rep. of the Congo,South Africa,32582,4,0,
2015,Ethiopia,South Africa,20324,4,0,
2015,Somalia,South Africa,41458,0,0,
2016,Afghanistan,Austria,20220,0,0,
2016,Syrian Arab Rep.,Austria,30958,0,0,
2016,Dem. Rep. of the Congo,Burundi,57055,11,0,
2016,Myanmar,Bangladesh,276198,0,0,
2016,Viet Nam,China,317098,0,0,
2016,Burundi,Dem. Rep. of the Congo,36332,298,0,
2016,Rwanda,Dem. Rep. of the Congo,245052,6066,0,
2016,Afghanistan,Germany,46292,0,0,
2016,Iraq,Germany,86045,0,0,
2016,Syrian Arab Rep.,Germany,375122,0,0,
2016,Syrian Arab Rep.,Egypt,116013,0,0,
2016,Sudan,Ethiopia,39896,0,0,
2016,Somalia,Ethiopia,242014,0,0,
2016,Afghanistan,Iran (Islamic Rep. of),951142,2298,0,
2016,Iraq,Iran (Islamic Rep. of),28268,128,0,
2016,Syrian Arab Rep.,Iraq,230836,0,0,
2016,Iraq,Jordan,33118,0,0,
2016,Syrian Arab Rep.,Jordan,648836,0,0,
2016,Somalia,Kenya,324448,33792,0,
2016,Syrian Arab Rep.,Lebanon,1005503,0,0,
2016,Myanmar,Malaysia,87036,0,0,
2016,Syrian Arab Rep.,Netherlands,28394,0,0,
2016,Afghanistan,Pakistan,1352160,381275,0,
2016,Burundi,Rwanda,82886,192,0,
2016,Dem. Rep. of the Congo,Rwanda,73147,0,0,
2016,Sudan,South Sudan,241510,0,0,
2016,Iraq,Sweden,21693,0,0,
2016,Somalia,Sweden,22548,0,0,
2016,Syrian Arab Rep.,Sweden,96914,0,0,
2016,Sudan,Chad,312468,37210,0,
2016,Myanmar,Thailand,102633,71,0,
2016,Iraq,Turkey,30398,0,0,
2016,Syrian Arab Rep.,Turkey,2823987,0,0,
2016,Burundi,United Rep. of Tanzania,230850,3541,0,
2016,Dem. Rep. of the Congo,United Rep. of Tanzania,50324,0,0,
2016,Burundi,Uganda,41012,15,0,
2016,Dem. Rep. of the Congo,Uganda,205363,6,0,
2016,Somalia,Uganda,30689,0,0,
2016,Somalia,Yemen,255121,2266,0,
2016,Dem. Rep. of the Congo,South Africa,26156,6,0,
2016,Somalia,South Africa,28695,0,0,
2016,Dem. Rep. of the Congo,Zambia,21338,0,0,